qid,country,wave,q101CLEAN,q102CLEAN,q709CLEAN,a1,rID
1135,palestine,1,good,somewhat worse,oppose,NA,148
553,palestine,1,good,somewhat worse,oppose,NA,149
215,palestine,1,good,somewhat worse,oppose,NA,150
297,palestine,1,good,somewhat worse,accept,NA,151
239,palestine,1,good,somewhat worse,oppose,NA,152
421,palestine,1,good,somewhat worse,oppose,NA,153
59,palestine,1,good,somewhat worse,oppose,NA,154
570,palestine,1,good,much worse,oppose,NA,155
228,palestine,1,good,much worse,oppose,NA,156
770,palestine,1,good,much worse,accept,NA,157
557,palestine,1,good,much worse,oppose,NA,158
117,palestine,1,good,much worse,oppose,NA,159
471,palestine,1,good,much worse,NA,NA,160
288,palestine,1,good,much worse,accept,NA,161
377,palestine,1,good,much worse,oppose,NA,162
460,palestine,1,good,much worse,oppose,NA,163
549,palestine,1,good,much worse,accept,NA,164
856,palestine,1,good,much worse,oppose,NA,165
236,palestine,1,good,much worse,oppose,NA,166
384,palestine,1,good,NA,oppose,NA,167
47,palestine,1,good,NA,oppose,NA,168
505,palestine,1,good,NA,oppose,NA,169
768,palestine,1,good,NA,oppose,NA,170
163,palestine,1,good,NA,oppose,NA,171
1254,palestine,1,good,NA,oppose,NA,172
573,palestine,1,good,NA,oppose,NA,173
839,palestine,1,bad,much better,oppose,NA,174
144,palestine,1,bad,much better,oppose,NA,175
1094,palestine,1,bad,much better,accept,NA,176
225,palestine,1,bad,much better,accept,NA,177
419,palestine,1,bad,much better,oppose,NA,178
1127,palestine,1,bad,much better,oppose,NA,179
1213,palestine,1,bad,much better,accept,NA,180
1096,palestine,1,bad,much better,oppose,NA,181
143,palestine,1,bad,much better,oppose,NA,182
146,palestine,1,bad,much better,oppose,NA,183
324,palestine,1,bad,much better,oppose,NA,184
1055,palestine,1,bad,much better,oppose,NA,185
964,palestine,1,bad,much better,accept,NA,186
561,palestine,1,bad,much better,accept,NA,187
1190,palestine,1,bad,much better,oppose,NA,188
172,palestine,1,bad,much better,accept,NA,189
1244,palestine,1,bad,much better,oppose,NA,190
1130,palestine,1,bad,much better,oppose,NA,191
859,palestine,1,bad,much better,accept,NA,192
1126,palestine,1,bad,much better,oppose,NA,193
911,palestine,1,bad,much better,oppose,NA,194
701,palestine,1,bad,much better,NA,NA,195
958,palestine,1,bad,much better,oppose,NA,196
413,palestine,1,bad,much better,oppose,NA,197
1085,palestine,1,bad,much better,oppose,NA,198
869,palestine,1,bad,much better,oppose,NA,199
754,palestine,1,bad,much better,oppose,NA,200
167,palestine,1,bad,much better,oppose,NA,201
303,palestine,1,bad,much better,oppose,NA,202
308,palestine,1,bad,much better,oppose,NA,203
153,palestine,1,bad,much better,oppose,NA,204
645,palestine,1,bad,much better,oppose,NA,205
1034,palestine,1,bad,much better,oppose,NA,206
240,palestine,1,bad,much better,oppose,NA,207
56,palestine,1,bad,much better,oppose,NA,208
949,palestine,1,bad,much better,accept,NA,209
1042,palestine,1,bad,much better,oppose,NA,210
818,palestine,1,bad,much better,oppose,NA,211
1000,palestine,1,bad,much better,accept,NA,212
139,palestine,1,bad,much better,oppose,NA,213
718,palestine,1,bad,much better,oppose,NA,214
1220,palestine,1,bad,much better,oppose,NA,215
127,palestine,1,bad,much better,oppose,NA,216
1172,palestine,1,bad,much better,oppose,NA,217
880,palestine,1,bad,much better,accept,NA,218
1075,palestine,1,bad,much better,oppose,NA,219
216,palestine,1,bad,much better,oppose,NA,220
2,palestine,1,bad,somewhat better,oppose,NA,221
719,palestine,1,bad,somewhat better,oppose,NA,222
576,palestine,1,bad,somewhat better,accept,NA,223
931,palestine,1,bad,somewhat better,oppose,NA,224
994,palestine,1,bad,somewhat better,accept,NA,225
437,palestine,1,bad,somewhat better,oppose,NA,226
518,palestine,1,bad,somewhat better,oppose,NA,227
325,palestine,1,bad,somewhat better,oppose,NA,228
1153,palestine,1,bad,somewhat better,accept,NA,229
1098,palestine,1,bad,somewhat better,oppose,NA,230
1151,palestine,1,bad,somewhat better,accept,NA,231
1223,palestine,1,bad,somewhat better,oppose,NA,232
198,palestine,1,bad,somewhat better,oppose,NA,233
761,palestine,1,bad,somewhat better,oppose,NA,234
1007,palestine,1,bad,somewhat better,oppose,NA,235
564,palestine,1,bad,somewhat better,oppose,NA,236
993,palestine,1,bad,somewhat better,oppose,NA,237
749,palestine,1,bad,somewhat better,oppose,NA,238
302,palestine,1,bad,somewhat better,oppose,NA,239
1166,palestine,1,bad,somewhat better,oppose,NA,240
1058,palestine,1,bad,somewhat better,accept,NA,241
934,palestine,1,bad,somewhat better,oppose,NA,242
18,palestine,1,bad,somewhat better,oppose,NA,243
992,palestine,1,bad,somewhat better,oppose,NA,244
653,palestine,1,bad,somewhat better,oppose,NA,245
1106,palestine,1,bad,somewhat better,oppose,NA,246
626,palestine,1,bad,somewhat better,oppose,NA,247
1232,palestine,1,bad,somewhat better,oppose,NA,248
912,palestine,1,bad,somewhat better,oppose,NA,249
414,palestine,1,bad,somewhat better,oppose,NA,250
769,palestine,1,bad,somewhat better,oppose,NA,251
943,palestine,1,bad,somewhat better,oppose,NA,252
86,palestine,1,bad,somewhat better,oppose,NA,253
942,palestine,1,bad,somewhat better,oppose,NA,254
222,palestine,1,bad,somewhat better,oppose,NA,255
401,palestine,1,bad,somewhat better,oppose,NA,256
362,palestine,1,bad,somewhat better,oppose,NA,257
1179,palestine,1,bad,somewhat better,oppose,NA,258
293,palestine,1,bad,somewhat better,oppose,NA,259
1084,palestine,1,bad,somewhat better,oppose,NA,260
343,palestine,1,bad,somewhat better,accept,NA,261
187,palestine,1,bad,somewhat better,accept,NA,262
1110,palestine,1,bad,somewhat better,oppose,NA,263
774,palestine,1,bad,somewhat better,NA,NA,264
593,palestine,1,bad,somewhat better,oppose,NA,265
673,palestine,1,bad,somewhat better,oppose,NA,266
423,palestine,1,bad,somewhat better,oppose,NA,267
1005,palestine,1,bad,somewhat better,oppose,NA,268
220,palestine,1,bad,somewhat better,oppose,NA,269
316,palestine,1,bad,somewhat better,NA,NA,270
212,palestine,1,bad,somewhat better,oppose,NA,271
558,palestine,1,bad,somewhat better,oppose,NA,272
809,palestine,1,bad,somewhat better,oppose,NA,273
390,palestine,1,bad,somewhat better,oppose,NA,274
464,palestine,1,bad,somewhat better,oppose,NA,275
207,palestine,1,bad,somewhat better,oppose,NA,276
1043,palestine,1,bad,somewhat better,accept,NA,277
717,palestine,1,bad,somewhat better,oppose,NA,278
416,palestine,1,bad,somewhat better,oppose,NA,279
141,palestine,1,bad,somewhat better,accept,NA,280
1208,palestine,1,bad,somewhat better,oppose,NA,281
762,palestine,1,bad,somewhat better,oppose,NA,282
1210,palestine,1,bad,somewhat better,accept,NA,283
1134,palestine,1,bad,somewhat better,oppose,NA,284
885,palestine,1,bad,somewhat better,oppose,NA,285
1095,palestine,1,bad,somewhat better,oppose,NA,286
399,palestine,1,bad,somewhat better,oppose,NA,287
1192,palestine,1,bad,somewhat better,oppose,NA,288
402,palestine,1,bad,somewhat better,oppose,NA,289
192,palestine,1,bad,somewhat better,oppose,NA,290
1099,palestine,1,bad,somewhat better,oppose,NA,291
305,palestine,1,bad,somewhat better,oppose,NA,292
883,palestine,1,bad,somewhat better,oppose,NA,293
79,palestine,1,bad,somewhat better,accept,NA,294
924,palestine,1,bad,somewhat better,oppose,NA,295
1139,palestine,1,bad,somewhat better,oppose,NA,296
161,palestine,1,bad,somewhat better,oppose,NA,297
223,palestine,1,bad,somewhat better,oppose,NA,298
33,palestine,1,bad,somewhat better,oppose,NA,299
578,palestine,1,bad,somewhat better,accept,NA,300
894,palestine,1,bad,somewhat better,accept,NA,301
808,palestine,1,bad,somewhat better,accept,NA,302
434,palestine,1,bad,somewhat better,oppose,NA,303
836,palestine,1,bad,somewhat better,accept,NA,304
488,palestine,1,bad,somewhat better,oppose,NA,305
468,palestine,1,bad,somewhat better,oppose,NA,306
805,palestine,1,bad,somewhat better,oppose,NA,307
67,palestine,1,bad,somewhat better,accept,NA,308
822,palestine,1,bad,somewhat better,oppose,NA,309
350,palestine,1,bad,somewhat better,oppose,NA,310
356,palestine,1,bad,somewhat better,oppose,NA,311
616,palestine,1,bad,somewhat better,oppose,NA,312
230,palestine,1,bad,somewhat better,accept,NA,313
137,palestine,1,bad,somewhat better,accept,NA,314
1071,palestine,1,bad,somewhat better,oppose,NA,315
35,palestine,1,bad,somewhat better,oppose,NA,316
312,palestine,1,bad,somewhat better,oppose,NA,317
1109,palestine,1,bad,somewhat better,oppose,NA,318
709,palestine,1,bad,somewhat better,oppose,NA,319
160,palestine,1,bad,somewhat better,accept,NA,320
677,palestine,1,bad,somewhat better,oppose,NA,321
205,palestine,1,bad,somewhat better,oppose,NA,322
935,palestine,1,bad,somewhat better,oppose,NA,323
495,palestine,1,bad,somewhat better,oppose,NA,324
927,palestine,1,bad,somewhat better,oppose,NA,325
514,palestine,1,bad,somewhat better,oppose,NA,326
715,palestine,1,bad,somewhat better,oppose,NA,327
699,palestine,1,bad,somewhat better,oppose,NA,328
61,palestine,1,bad,somewhat better,oppose,NA,329
1051,palestine,1,bad,somewhat better,oppose,NA,330
73,palestine,1,bad,somewhat better,accept,NA,331
1064,palestine,1,bad,somewhat better,oppose,NA,332
603,palestine,1,bad,somewhat better,oppose,NA,333
932,palestine,1,bad,somewhat better,oppose,NA,334
980,palestine,1,bad,somewhat better,oppose,NA,335
1234,palestine,1,bad,somewhat better,oppose,NA,336
643,palestine,1,bad,somewhat better,oppose,NA,337
331,palestine,1,bad,somewhat better,accept,NA,338
1115,palestine,1,bad,somewhat better,oppose,NA,339
81,palestine,1,bad,somewhat better,oppose,NA,340
1008,palestine,1,bad,somewhat better,accept,NA,341
1163,palestine,1,bad,somewhat better,oppose,NA,342
365,palestine,1,bad,somewhat better,oppose,NA,343
194,palestine,1,bad,somewhat better,accept,NA,344
1157,palestine,1,bad,somewhat better,oppose,NA,345
900,palestine,1,bad,somewhat better,accept,NA,346
620,palestine,1,bad,somewhat better,oppose,NA,347
38,palestine,1,bad,somewhat better,oppose,NA,348
711,palestine,1,bad,somewhat better,oppose,NA,349
617,palestine,1,bad,somewhat better,oppose,NA,350
1068,palestine,1,bad,somewhat better,accept,NA,351
473,palestine,1,bad,somewhat better,oppose,NA,352
218,palestine,1,bad,somewhat better,oppose,NA,353
140,palestine,1,bad,somewhat better,oppose,NA,354
338,palestine,1,bad,somewhat better,oppose,NA,355
132,palestine,1,bad,somewhat better,oppose,NA,356
940,palestine,1,bad,somewhat better,oppose,NA,357
95,palestine,1,bad,somewhat better,oppose,NA,358
1136,palestine,1,bad,somewhat better,oppose,NA,359
279,palestine,1,bad,somewhat better,oppose,NA,360
619,palestine,1,bad,somewhat better,NA,NA,361
955,palestine,1,bad,somewhat better,oppose,NA,362
710,palestine,1,bad,somewhat better,oppose,NA,363
344,palestine,1,bad,somewhat better,accept,NA,364
1129,palestine,1,bad,somewhat better,oppose,NA,365
854,palestine,1,bad,somewhat better,accept,NA,366
309,palestine,1,bad,somewhat better,accept,NA,367
1022,palestine,1,bad,somewhat better,oppose,NA,368
1123,palestine,1,bad,somewhat better,oppose,NA,369
664,palestine,1,bad,almost the same as the current situation,oppose,NA,370
98,palestine,1,bad,almost the same as the current situation,oppose,NA,371
1076,palestine,1,bad,almost the same as the current situation,oppose,NA,372
562,palestine,1,bad,almost the same as the current situation,oppose,NA,373
409,palestine,1,bad,almost the same as the current situation,oppose,NA,374
255,palestine,1,bad,almost the same as the current situation,oppose,NA,375
923,palestine,1,bad,almost the same as the current situation,accept,NA,376
790,palestine,1,bad,almost the same as the current situation,NA,NA,377
261,palestine,1,bad,almost the same as the current situation,oppose,NA,378
899,palestine,1,bad,almost the same as the current situation,oppose,NA,379
387,palestine,1,bad,almost the same as the current situation,oppose,NA,380
1217,palestine,1,bad,almost the same as the current situation,oppose,NA,381
1081,palestine,1,bad,almost the same as the current situation,oppose,NA,382
157,palestine,1,bad,almost the same as the current situation,accept,NA,383
556,palestine,1,bad,almost the same as the current situation,oppose,NA,384
511,palestine,1,bad,almost the same as the current situation,oppose,NA,385
76,palestine,1,bad,almost the same as the current situation,oppose,NA,386
364,palestine,1,bad,almost the same as the current situation,oppose,NA,387
439,palestine,1,bad,almost the same as the current situation,accept,NA,388
54,palestine,1,bad,almost the same as the current situation,oppose,NA,389
611,palestine,1,bad,almost the same as the current situation,oppose,NA,390
508,palestine,1,bad,almost the same as the current situation,oppose,NA,391
784,palestine,1,bad,almost the same as the current situation,accept,NA,392
186,palestine,1,bad,almost the same as the current situation,oppose,NA,393
306,palestine,1,bad,almost the same as the current situation,accept,NA,394
226,palestine,1,bad,almost the same as the current situation,oppose,NA,395
1248,palestine,1,bad,almost the same as the current situation,oppose,NA,396
346,palestine,1,bad,almost the same as the current situation,oppose,NA,397
625,palestine,1,bad,almost the same as the current situation,oppose,NA,398
171,palestine,1,bad,almost the same as the current situation,accept,NA,399
644,palestine,1,bad,almost the same as the current situation,oppose,NA,400
771,palestine,1,bad,almost the same as the current situation,accept,NA,401
16,palestine,1,bad,almost the same as the current situation,accept,NA,402
100,palestine,1,bad,almost the same as the current situation,accept,NA,403
1176,palestine,1,bad,almost the same as the current situation,oppose,NA,404
867,palestine,1,bad,almost the same as the current situation,oppose,NA,405
493,palestine,1,bad,almost the same as the current situation,oppose,NA,406
57,palestine,1,bad,almost the same as the current situation,oppose,NA,407
1018,palestine,1,bad,almost the same as the current situation,oppose,NA,408
361,palestine,1,bad,almost the same as the current situation,oppose,NA,409
572,palestine,1,bad,almost the same as the current situation,NA,NA,410
810,palestine,1,bad,almost the same as the current situation,accept,NA,411
909,palestine,1,bad,almost the same as the current situation,accept,NA,412
37,palestine,1,bad,almost the same as the current situation,oppose,NA,413
432,palestine,1,bad,almost the same as the current situation,accept,NA,414
622,palestine,1,bad,almost the same as the current situation,oppose,NA,415
169,palestine,1,bad,almost the same as the current situation,oppose,NA,416
299,palestine,1,bad,almost the same as the current situation,oppose,NA,417
259,palestine,1,bad,almost the same as the current situation,accept,NA,418
263,palestine,1,bad,almost the same as the current situation,oppose,NA,419
679,palestine,1,bad,almost the same as the current situation,oppose,NA,420
554,palestine,1,bad,almost the same as the current situation,oppose,NA,421
295,palestine,1,bad,almost the same as the current situation,oppose,NA,422
641,palestine,1,bad,almost the same as the current situation,oppose,NA,423
1102,palestine,1,bad,almost the same as the current situation,oppose,NA,424
902,palestine,1,bad,almost the same as the current situation,accept,NA,425
735,palestine,1,bad,almost the same as the current situation,oppose,NA,426
70,palestine,1,bad,almost the same as the current situation,accept,NA,427
650,palestine,1,bad,almost the same as the current situation,NA,NA,428
9,palestine,1,bad,almost the same as the current situation,accept,NA,429
906,palestine,1,bad,almost the same as the current situation,NA,NA,430
1080,palestine,1,bad,almost the same as the current situation,accept,NA,431
698,palestine,1,bad,almost the same as the current situation,oppose,NA,432
688,palestine,1,bad,almost the same as the current situation,accept,NA,433
1053,palestine,1,bad,almost the same as the current situation,accept,NA,434
684,palestine,1,bad,almost the same as the current situation,accept,NA,435
739,palestine,1,bad,almost the same as the current situation,accept,NA,436
925,palestine,1,bad,almost the same as the current situation,oppose,NA,437
326,palestine,1,bad,almost the same as the current situation,oppose,NA,438
612,palestine,1,bad,almost the same as the current situation,oppose,NA,439
443,palestine,1,bad,almost the same as the current situation,accept,NA,440
82,palestine,1,bad,almost the same as the current situation,oppose,NA,441
694,palestine,1,bad,almost the same as the current situation,oppose,NA,442
1112,palestine,1,bad,almost the same as the current situation,oppose,NA,443
692,palestine,1,bad,almost the same as the current situation,oppose,NA,444
80,palestine,1,bad,almost the same as the current situation,oppose,NA,445
283,palestine,1,bad,almost the same as the current situation,accept,NA,446
197,palestine,1,bad,almost the same as the current situation,accept,NA,447
504,palestine,1,bad,almost the same as the current situation,accept,NA,448
621,palestine,1,bad,almost the same as the current situation,NA,NA,449
251,palestine,1,bad,almost the same as the current situation,oppose,NA,450
687,palestine,1,bad,almost the same as the current situation,oppose,NA,451
5,palestine,1,bad,almost the same as the current situation,oppose,NA,452
449,palestine,1,bad,almost the same as the current situation,oppose,NA,453
560,palestine,1,bad,almost the same as the current situation,oppose,NA,454
589,palestine,1,bad,almost the same as the current situation,oppose,NA,455
760,palestine,1,bad,almost the same as the current situation,oppose,NA,456
860,palestine,1,bad,almost the same as the current situation,oppose,NA,457
680,palestine,1,bad,almost the same as the current situation,oppose,NA,458
647,palestine,1,bad,almost the same as the current situation,oppose,NA,459
697,palestine,1,bad,almost the same as the current situation,oppose,NA,460
781,palestine,1,bad,somewhat worse,accept,NA,461
358,palestine,1,bad,somewhat worse,accept,NA,462
106,palestine,1,bad,somewhat worse,oppose,NA,463
459,palestine,1,bad,somewhat worse,oppose,NA,464
736,palestine,1,bad,somewhat worse,accept,NA,465
1133,palestine,1,bad,somewhat worse,oppose,NA,466
1015,palestine,1,bad,somewhat worse,oppose,NA,467
466,palestine,1,bad,somewhat worse,oppose,NA,468
753,palestine,1,bad,somewhat worse,oppose,NA,469
319,palestine,1,bad,somewhat worse,accept,NA,470
424,palestine,1,bad,somewhat worse,oppose,NA,471
46,palestine,1,bad,somewhat worse,oppose,NA,472
405,palestine,1,bad,somewhat worse,oppose,NA,473
27,palestine,1,bad,somewhat worse,oppose,NA,474
426,palestine,1,bad,somewhat worse,oppose,NA,475
638,palestine,1,bad,somewhat worse,oppose,NA,476
373,palestine,1,bad,somewhat worse,oppose,NA,477
107,palestine,1,bad,somewhat worse,oppose,NA,478
410,palestine,1,bad,somewhat worse,oppose,NA,479
517,palestine,1,bad,somewhat worse,accept,NA,480
477,palestine,1,bad,somewhat worse,oppose,NA,481
689,palestine,1,bad,somewhat worse,oppose,NA,482
787,palestine,1,bad,somewhat worse,NA,NA,483
972,palestine,1,bad,somewhat worse,oppose,NA,484
126,palestine,1,bad,somewhat worse,accept,NA,485
1104,palestine,1,bad,somewhat worse,oppose,NA,486
640,palestine,1,bad,somewhat worse,oppose,NA,487
456,palestine,1,bad,somewhat worse,accept,NA,488
635,palestine,1,bad,somewhat worse,oppose,NA,489
408,palestine,1,bad,somewhat worse,oppose,NA,490
122,palestine,1,bad,somewhat worse,oppose,NA,491
149,palestine,1,bad,somewhat worse,oppose,NA,492
1116,palestine,1,bad,somewhat worse,oppose,NA,493
30,palestine,1,bad,somewhat worse,oppose,NA,494
595,palestine,1,bad,somewhat worse,accept,NA,495
592,palestine,1,bad,somewhat worse,oppose,NA,496
497,palestine,1,bad,somewhat worse,oppose,NA,497
824,palestine,1,bad,somewhat worse,oppose,NA,498
1177,palestine,1,bad,somewhat worse,accept,NA,499
118,palestine,1,bad,somewhat worse,oppose,NA,500
380,palestine,1,bad,somewhat worse,oppose,NA,501
1120,palestine,1,bad,somewhat worse,accept,NA,502
254,palestine,1,bad,somewhat worse,oppose,NA,503
1003,palestine,1,bad,somewhat worse,oppose,NA,504
928,palestine,1,bad,somewhat worse,oppose,NA,505
1108,palestine,1,bad,somewhat worse,oppose,NA,506
798,palestine,1,bad,somewhat worse,oppose,NA,507
792,palestine,1,bad,somewhat worse,accept,NA,508
74,palestine,1,bad,somewhat worse,accept,NA,509
1077,palestine,1,bad,somewhat worse,accept,NA,510
886,palestine,1,bad,somewhat worse,oppose,NA,511
314,palestine,1,bad,somewhat worse,oppose,NA,512
108,palestine,1,bad,somewhat worse,oppose,NA,513
720,palestine,1,bad,somewhat worse,oppose,NA,514
148,palestine,1,bad,somewhat worse,accept,NA,515
234,palestine,1,bad,somewhat worse,oppose,NA,516
807,palestine,1,bad,somewhat worse,oppose,NA,517
371,palestine,1,bad,somewhat worse,NA,NA,518
579,palestine,1,bad,somewhat worse,accept,NA,519
1255,palestine,1,bad,somewhat worse,oppose,NA,520
348,palestine,1,bad,somewhat worse,oppose,NA,521
162,palestine,1,bad,somewhat worse,oppose,NA,522
682,palestine,1,bad,somewhat worse,oppose,NA,523
1061,palestine,1,bad,somewhat worse,oppose,NA,524
581,palestine,1,bad,somewhat worse,oppose,NA,525
586,palestine,1,bad,somewhat worse,oppose,NA,526
788,palestine,1,bad,somewhat worse,NA,NA,527
1156,palestine,1,bad,somewhat worse,oppose,NA,528
816,palestine,1,bad,somewhat worse,oppose,NA,529
269,palestine,1,bad,somewhat worse,oppose,NA,530
